20702;Садоводческие или огороднические некоммерческие товарищества
20716;Товарищества собственников жилья
21100;Казачьи общества, внесенные в государственный реестр казачьих обществ в Российской Федерации
21200;Общины коренных малочисленных народов Российской Федерации
30000;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ОРГАНИЗАЦИЙ, СОЗДАННЫХ  БЕЗ ПРАВ ЮРИДИЧЕСКОГО ЛИЦА
30001;Представительства юридических лиц
30002;Филиалы юридических лиц
30003;Обособленные подразделения юридических лиц
30004;Структурные подразделения обособленных подразделений юридических лиц
30005;Паевые инвестиционные фонды
30006;Простые товарищества
30008;Районные суды, городские суды, межрайонные суды (районные суды)
40000;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ
40001;Межправительственные международные организации
40002;Неправительственные международные организации
50000;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ДЛЯ ДЕЯТЕЛЬНОСТИ ГРАЖДАН (ФИЗИЧЕСКИХ ЛИЦ)
50100;Организационно-правовые формы для коммерческой деятельности граждан
50101;Главы крестьянских (фермерских) хозяйств
50102;Индивидуальные предприниматели
50200;Организационно-правовые формы для деятельности граждан, не отнесенной  к предпринимательству
50201;Адвокаты, учредившие адвокатский кабинет
50202;Нотариусы, занимающиеся частной практикой
60000;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ, ЯВЛЯЮЩИХСЯ КОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ
65000;Унитарные предприятия
65100;Унитарные предприятия, основанные на праве оперативного управления (казенные предприятия)
65141;Федеральные казенные предприятия
65142;Казенные предприятия субъектов Российской Федерации
65143;Муниципальные казенные предприятия
65200;Унитарные предприятия, основанные на праве хозяйственного ведения
65241;Федеральные государственные унитарные предприятия
65242;Государственные унитарные предприятия субъектов Российской Федерации
65243;Муниципальные унитарные предприятия
75105;Государственные внебюджетные фонды Российской Федерации
70000;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ, ЯВЛЯЮЩИХСЯ НЕКОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ
70400;Фонды
70401;Благотворительные фонды
70402;Негосударственные пенсионные фонды
70403;Общественные фонды
70404;Экологические фонды
71400;Автономные некоммерческие организации
71500;Религиозные организации
71600;Публично-правовые компании
71601;Государственные корпорации
71602;Государственные компании
71610;Отделения иностранных некоммерческих неправительственных организаций
75000;Учреждения
75100;Учреждения, созданные Российской Федерацией
75101;Федеральные государственные автономные учреждения
75103;Федеральные государственные бюджетные учреждения
75104;Федеральные государственные казенные учреждения
75200;Учреждения, созданные субъектом Российской Федерации
75201;Государственные автономные учреждения субъектов Российской Федерации
75203;Государственные бюджетные учреждения субъектов Российской Федерации
75204;Государственные казенные учреждения субъектов Российской Федерации
75300;Государственные академии наук
75400;Учреждения, созданные муниципальным образованием (муниципальные учреждения)
75401;Муниципальные автономные учреждения
75403;Муниципальные бюджетные учреждения
75404;Муниципальные казенные учреждения
75500;Частные учреждения
75502;Благотворительные учреждения
75505;Общественные учреждения
